Cluster 1,Center,x=86.000000, y=64.000000
Date,High,Low,
4/22/2017,90,63,5
5/20/2017,94,63,5
6/26/2017,94,67,5
6/27/2017,89,64,5
7/7/2017,96,68,5
7/10/2017,92,70,5
7/15/2017,89,66,5
8/1/2017,91,69,5
8/30/2017,92,71,5
9/10/2017,91,67,5
9/29/2017,89,64,5
10/7/2017,96,63,5
10/15/2017,96,62,5
10/16/2017,96,66,5
10/17/2017,94,66,5
10/22/2017,93,62,5
10/26/2017,93,66,5
11/22/2017,93,62,5
11/23/2017,92,64,5
7/23/2018,93,70,5
8/3/2018,92,70,5
8/4/2018,90,68,5
8/6/2018,93,69,5
9/9/2018,89,64,5
9/14/2018,92,65,5
10/1/2018,90,66,5
,,,
,,,
Cluster 7,Center,x=87.000000, y=69.000000
Date,High,Low,
7/3/2014,85,65,6
7/4/2014,87,65,6
7/5/2014,89,67,6
7/6/2014,87,67,6
7/8/2014,86,68,6
7/10/2014,85,66,6
7/22/2014,85,65,6
7/23/2014,88,65,6
7/25/2014,88,69,6
7/26/2014,86,68,6
7/27/2014,84,67,6
7/28/2014,88,68,6
7/29/2014,88,68,6
7/31/2014,87,67,6
8/1/2014,85,66,6
8/3/2014,85,72,6
8/4/2014,87,65,6
8/10/2014,85,66,6
8/11/2014,85,65,6
8/12/2014,84,66,6
8/18/2014,86,65,6
8/20/2014,84,67,6
8/23/2014,85,66,6
8/31/2014,87,69,6
9/1/2014,85,70,6
9/2/2014,84,68,6
9/6/2014,86,65,6
9/8/2014,88,71,6
9/10/2014,87,64,6
9/11/2014,89,67,6
9/25/2014,85,67,6
6/28/2015,86,67,6
6/30/2015,89,67,6
7/1/2015,84,67,6
7/18/2015,87,65,6
7/20/2015,85,70,6
7/24/2015,85,67,6
7/25/2015,87,67,6
7/26/2015,85,67,6
7/28/2015,85,66,6
7/30/2015,83,68,6
7/31/2015,84,67,6
8/2/2015,84,66,6
8/3/2015,84,67,6
8/4/2015,88,67,6
8/5/2015,88,67,6
8/6/2015,86,67,6
8/17/2015,88,69,6
8/18/2015,86,68,6
8/22/2015,83,68,6
8/24/2015,87,67,6
8/25/2015,87,71,6
8/30/2015,90,71,6
8/31/2015,85,69,6
9/1/2015,83,69,6
9/5/2015,85,65,6
9/14/2015,84,71,6
9/18/2015,87,65,6
9/21/2015,86,72,6
9/22/2015,84,70,6
9/23/2015,86,68,6
9/28/2015,88,68,6
9/29/2015,87,64,6
10/1/2015,87,69,6
10/2/2015,84,68,6
10/14/2015,86,72,6
10/15/2015,83,70,6
10/25/2015,86,66,6
10/29/2015,83,68,6
10/30/2015,86,65,6
6/21/2016,89,67,6
6/27/2016,88,65,6
6/28/2016,86,67,6
6/29/2016,86,66,6
7/26/2016,86,68,6
7/27/2016,89,68,6
7/28/2016,88,69,6
7/29/2016,88,69,6
7/30/2016,85,70,6
7/31/2016,88,69,6
8/1/2016,85,67,6
8/2/2016,85,66,6
8/4/2016,84,66,6
8/14/2016,86,67,6
8/29/2016,86,64,6
8/30/2016,88,67,6
9/20/2016,89,71,6
9/21/2016,84,67,6
9/28/2016,90,71,6
9/30/2016,88,67,6
10/1/2016,86,64,6
4/28/2017,85,69,6
6/16/2017,88,64,6
6/17/2017,86,64,6
6/25/2017,88,64,6
7/5/2017,86,64,6
7/6/2017,88,66,6
7/11/2017,86,68,6
7/16/2017,87,70,6
7/17/2017,86,69,6
7/18/2017,85,67,6
7/19/2017,86,67,6
7/20/2017,89,68,6
7/21/2017,85,67,6
7/22/2017,86,67,6
7/23/2017,86,68,6
7/24/2017,85,68,6
7/28/2017,84,66,6
7/29/2017,86,67,6
8/4/2017,86,71,6
8/5/2017,87,70,6
8/6/2017,83,68,6
8/8/2017,87,68,6
8/9/2017,84,66,6
8/10/2017,85,67,6
8/12/2017,85,65,6
8/26/2017,87,68,6
8/28/2017,88,67,6
9/4/2017,85,73,6
9/5/2017,83,71,6
9/6/2017,83,70,6
9/7/2017,86,67,6
